community_id,protein_id,confidence_label,has_topology,has_semantic,has_go,any_nonzero,multi_channel
0,YBR154C,core,True,True,True,True,True
0,YDL150W,core,True,True,True,True,True
0,YDR005C,core,True,True,True,True,True
0,YDR045C,core,True,True,True,True,True
0,YFR028C,inner,True,True,True,True,True
0,YGL156W,inner,True,True,True,True,True
0,YIL021W,inner,True,True,True,True,True
0,YJL011C,core,True,True,True,True,True
0,YJR063W,core,True,True,True,True,True
0,YKL144C,core,True,True,True,True,True
0,YKL213C,inner,True,True,True,True,True
0,YKR025W,core,True,True,True,True,True
0,YNL113W,core,True,True,True,True,True
0,YNL151C,core,True,True,True,True,True
0,YNL248C,core,True,True,True,True,True
0,YNR003C,core,True,True,True,True,True
0,YOL005C,inner,True,True,True,True,True
0,YOR116C,core,True,True,True,True,True
0,YOR207C,core,True,True,True,True,True
0,YOR210W,core,True,True,True,True,True
0,YOR224C,core,True,True,True,True,True
0,YOR340C,core,True,True,True,True,True
0,YOR341W,core,True,True,True,True,True
0,YPR010C,inner,True,True,True,True,True
0,YPR032W,inner,True,True,True,True,True
0,YPR110C,core,True,True,True,True,True
0,YPR187W,core,True,True,True,True,True
0,YPR190C,core,True,True,True,True,True
1,YBR154C,core,True,True,True,True,True
1,YDL115C,core,True,True,True,True,True
1,YDL140C,core,True,True,True,True,True
1,YDR390C,inner,True,True,True,True,True
1,YDR404C,core,True,True,True,True,True
1,YER139C,inner,True,True,True,True,True
1,YGL070C,core,True,True,True,True,True
1,YGR005C,core,True,True,True,True,True
1,YGR063C,core,True,True,True,True,True
1,YGR186W,core,True,True,True,True,True
1,YHL021C,inner,True,True,True,True,True
1,YIL021W,core,True,True,True,True,True
1,YJL140W,core,True,True,True,True,True
1,YJR072C,inner,True,True,True,True,True
1,YML010W,core,True,True,True,True,True
1,YOL005C,core,True,True,True,True,True
1,YOR151C,core,True,True,True,True,True
1,YPR093C,core,True,True,True,True,True
1,YPR180W,core,True,True,True,True,True
1,YPR187W,core,True,True,True,True,True
2,YBR049C,inner,True,True,True,True,True
2,YBR245C,core,True,True,True,True,True
2,YBR289W,inner,True,True,True,True,True
2,YCR052W,core,True,True,True,True,True
2,YDR073W,inner,True,True,True,True,True
2,YDR224C,inner,True,True,True,True,True
2,YDR303C,core,True,True,True,True,True
2,YFL049W,inner,True,True,True,True,True
2,YFR013W,inner,True,True,True,True,True
2,YFR037C,core,True,True,True,True,True
2,YGL133W,inner,True,True,True,True,True
2,YGR056W,inner,True,True,True,True,True
2,YGR275W,inner,True,True,True,True,True
2,YHL025W,inner,True,True,True,True,True
2,YHR056C,inner,True,True,True,True,True
2,YIL031W,inner,True,True,True,True,True
2,YIL126W,core,True,True,True,True,True
2,YJL176C,inner,True,True,True,True,True
2,YKR001C,inner,True,True,True,True,True
2,YKR008W,inner,True,True,True,True,True
2,YLR033W,inner,True,True,True,True,True
2,YLR176C,inner,True,True,True,True,True
2,YLR321C,core,True,True,True,True,True
2,YLR357W,core,True,True,True,True,True
2,YML127W,inner,True,True,True,True,True
2,YMR033W,core,True,True,True,True,True
2,YMR072W,inner,True,True,True,True,True
2,YMR091C,core,True,True,True,True,True
2,YNL059C,inner,True,True,True,True,True
2,YNR023W,inner,True,True,True,True,True
2,YOL006C,inner,True,True,True,True,True
2,YOL067C,inner,True,True,True,True,True
2,YOL072W,inner,True,True,True,True,True
